City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
79,Tuktoyaktuk,CA,69.4541,-133.0374,12.2,92,75,11.5,broken clouds
80,Kapaa,US,22.0752,-159.319,79.11,75,75,13.8,broken clouds
81,The Pas,CA,53.8251,-101.2541,12.22,79,75,11.5,broken clouds
82,Jerome,US,42.7241,-114.5186,28.69,92,100,20.71,overcast clouds
83,Borkenes,NO,68.774,16.1739,35.55,87,0,17.0,clear sky
84,Srednekolymsk,RU,67.45,153.6833,-2.51,97,100,3.76,light snow
85,Butaritari,KI,3.0707,172.7902,81.79,71,100,19.66,overcast clouds
86,Bilma,NE,18.6853,12.9164,66.78,30,0,8.55,clear sky
87,Kodiak,US,57.79,-152.4072,36.23,95,100,20.83,light rain
88,Cabedelo,BR,-6.9811,-34.8339,77.67,79,70,10.67,broken clouds
89,Hobyo,SO,5.3505,48.5268,78.94,69,1,11.39,clear sky
90,Cherskiy,RU,68.75,161.3,-3.15,97,100,8.57,overcast clouds
91,Khatanga,RU,71.9667,102.5,-5.73,99,100,5.37,overcast clouds
92,Rapid City,US,44.0805,-103.231,21.79,90,100,11.5,mist
93,Paamiut,GL,61.994,-49.6678,17.46,78,100,7.47,overcast clouds
94,Hermanus,ZA,-34.4187,19.2345,55.8,74,2,11.63,clear sky
95,Mataura,NZ,-46.1927,168.8643,58.48,31,0,5.3,clear sky
96,Dunedin,NZ,-45.8742,170.5036,55.8,60,1,8.99,clear sky
97,Ugoofaaru,MV,5.6667,73.0,80.71,74,100,3.18,overcast clouds
98,Ola,RU,59.5833,151.2833,5.14,74,100,11.3,overcast clouds
99,Bambous Virieux,MU,-20.3428,57.7575,73.22,83,20,0.0,few clouds
100,Bratsk,RU,56.1325,101.6142,23.49,81,98,11.86,overcast clouds
101,Thisted,DK,56.9552,8.6949,53.15,80,11,12.28,few clouds
102,Marzuq,YE,14.4,46.4667,61.52,68,3,3.8,clear sky
103,Maarianhamina,AX,60.0973,19.9348,48.06,93,100,8.05,overcast clouds
104,Mitu,CO,1.1983,-70.1733,71.56,99,100,2.82,heavy intensity rain
105,San Quintin,MX,30.4833,-115.95,60.75,62,0,16.2,clear sky
106,Isangel,VU,-19.55,169.2667,86.11,66,75,3.44,broken clouds
107,Auki,SB,-8.7676,160.7034,82.0,82,98,5.68,overcast clouds
108,Santa Rosa,PH,14.3122,121.1114,91.02,61,67,9.37,broken clouds
109,Thunder Bay,CA,48.4001,-89.3168,44.58,100,100,4.61,mist
110,Champasak,LA,14.75,106.0,81.48,49,100,2.13,overcast clouds
111,Kruisfontein,ZA,-34.0033,24.7314,56.88,76,100,5.79,overcast clouds
112,Sao Domingos,BR,-13.3983,-46.3183,75.33,67,93,3.65,overcast clouds
113,Mount Isa,AU,-20.7333,139.5,94.77,31,75,12.66,broken clouds
114,Iqaluit,CA,63.7506,-68.5145,11.93,67,100,16.11,light snow
115,Seymchan,RU,62.8833,152.4333,-9.92,98,72,0.81,broken clouds
116,Methoni,GR,36.8197,21.7049,60.22,71,1,3.8,clear sky
117,Mayskiy,RU,47.6931,40.1025,44.01,83,100,6.15,overcast clouds
118,Namibe,AO,-15.1961,12.1522,64.72,81,27,9.08,scattered clouds
119,Daru,PG,-9.0763,143.2092,85.21,62,13,13.73,few clouds
120,Dalbandin,PK,28.8947,64.4101,61.14,47,13,6.64,few clouds
121,Hami,CN,42.8,93.45,42.76,34,100,3.47,overcast clouds
122,Codrington,AU,-38.2667,141.9667,73.53,72,100,20.92,overcast clouds
123,Khammam,IN,17.25,80.15,74.82,65,4,4.21,clear sky
124,Nikolskoye,RU,59.7035,30.7861,49.91,94,100,8.55,overcast clouds
125,Tiksi,RU,71.6872,128.8694,-9.13,96,100,8.57,overcast clouds
126,Nantucket,US,41.2835,-70.0995,48.99,64,0,12.1,clear sky
127,Tikrit,IQ,34.6071,43.6782,68.63,37,88,6.89,overcast clouds
128,Nhulunbuy,AU,-12.2333,136.7667,90.21,62,75,14.97,broken clouds
129,East London,ZA,-33.0153,27.9116,64.11,78,100,5.84,light rain
130,Micheweni,TZ,-4.9667,39.8333,77.88,86,51,8.03,broken clouds
131,Ludvika,SE,60.1496,15.1878,48.0,87,72,8.34,broken clouds
132,Ixtapa,MX,20.7,-105.2,71.76,95,25,2.53,scattered clouds
133,Provideniya,RU,64.3833,-173.3,26.71,80,100,4.47,shower snow
134,Najran,SA,17.4924,44.1277,63.25,33,0,2.51,clear sky
135,Saskylakh,RU,71.9167,114.0833,-14.1,97,96,6.44,overcast clouds
136,Sorland,NO,67.667,12.6934,40.86,64,63,10.65,broken clouds
137,Bilibino,RU,68.0546,166.4372,-2.79,98,100,0.94,overcast clouds
138,Lakefield,US,43.6775,-95.1717,64.87,92,40,13.8,scattered clouds
139,Lazaro Cardenas,MX,17.9583,-102.2,77.59,85,4,2.68,clear sky
140,Merauke,ID,-8.4667,140.3333,87.96,65,41,11.56,scattered clouds
141,Dakar,SN,14.6937,-17.4441,77.88,74,91,13.02,overcast clouds
142,Port Lincoln,AU,-34.7333,135.8667,64.24,70,100,14.25,overcast clouds
143,Muchkapskiy,RU,51.8513,42.4717,39.02,84,98,7.38,overcast clouds
144,Hofn,IS,64.2539,-15.2082,43.74,93,100,18.75,overcast clouds
145,Bereda,ES,43.2686,-7.5406,55.15,100,83,2.15,broken clouds
146,Goundam,ML,16.4145,-3.6708,75.09,13,1,6.31,clear sky
147,Turinsk,RU,58.0458,63.696,32.47,99,100,6.02,light snow
148,Avera,US,33.194,-82.5271,61.38,60,81,16.02,broken clouds
149,Bethel,US,41.3712,-73.414,47.48,82,0,1.99,clear sky
150,Arraial Do Cabo,BR,-22.9661,-42.0278,70.16,88,100,20.38,overcast clouds
151,Guarapari,BR,-20.6667,-40.4975,69.89,90,97,4.23,overcast clouds
152,Kayes,ML,14.0,-11.0,73.2,16,0,1.41,clear sky
153,Dzhebariki-Khaya,RU,62.2167,135.8,-13.49,91,100,2.08,overcast clouds
154,Lompoc,US,34.6391,-120.4579,53.78,85,0,3.0,clear sky
155,Takoradi,GH,4.8845,-1.7554,77.97,85,72,8.01,broken clouds
156,Ponta Do Sol,PT,32.6667,-17.1,68.63,83,31,2.89,scattered clouds
157,Ancud,CL,-41.8697,-73.8203,50.9,95,100,0.54,light rain
158,Kuryk,KZ,43.2,51.65,41.56,66,4,13.13,clear sky
159,Faya,SA,18.3851,42.4509,59.11,67,21,2.82,few clouds
160,Banda Aceh,ID,5.5577,95.3222,82.83,73,92,8.48,light rain
161,Svetlogorsk,BY,52.6333,29.7333,44.06,91,100,9.46,overcast clouds
162,Airai,TL,-8.9266,125.4092,73.24,62,84,2.15,broken clouds
163,Stornoway,GB,58.2093,-6.3865,55.36,89,100,26.46,overcast clouds
164,Aswan,EG,24.0934,32.907,61.9,48,0,11.5,clear sky
165,Matadi,CD,-5.8167,13.45,74.41,94,100,1.68,overcast clouds
166,Tasiilaq,GL,65.6145,-37.6368,27.7,78,100,7.96,overcast clouds
167,Te Anau,NZ,-45.4167,167.7167,65.17,36,1,2.71,clear sky
168,Puerto Narino,CO,-3.7703,-70.3831,73.83,95,81,2.75,light rain
169,Hatillo,PR,18.4863,-66.8254,77.32,94,35,3.49,scattered clouds
170,Sinjar,IQ,36.3209,41.8754,59.59,57,89,5.08,overcast clouds
171,Marivan,IR,35.5219,46.176,49.69,53,81,3.56,broken clouds
172,Oussouye,SN,12.485,-16.5469,77.23,78,3,6.38,clear sky
173,Vryburg,ZA,-26.9566,24.7284,65.17,35,30,7.18,scattered clouds
174,Drumheller,CA,51.4617,-112.7101,1.42,78,11,2.3,few clouds
175,Ornskoldsvik,SE,63.2909,18.7153,32.95,100,100,3.44,overcast clouds
176,Raudeberg,NO,61.9875,5.1352,50.67,1,100,21.5,light rain
177,Bandarbeyla,SO,9.4942,50.8122,80.11,75,27,12.3,light rain
178,Solnechnyy,RU,50.7214,136.6319,29.5,32,1,9.73,clear sky
179,Tuatapere,NZ,-46.1333,167.6833,66.42,39,0,6.73,clear sky
180,Hare Bay,CA,48.8499,-54.0148,31.35,67,94,8.77,overcast clouds
181,Torbay,CA,47.6666,-52.7314,34.75,69,75,23.02,broken clouds
182,Ponca City,US,36.707,-97.0856,69.94,83,22,10.0,few clouds
