City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Upernavik,GL,2022-10-27 21:48:42,72.7868,-56.1549,28.99,96,100,7.49
67,Saskylakh,RU,2022-10-27 21:48:43,71.9167,114.0833,-1.52,99,82,4.94
68,Gat,IL,2022-10-27 21:48:44,31.61,34.7642,70.81,70,0,5.3
69,Clyde River,CA,2022-10-27 21:48:44,70.4692,-68.5914,23.23,100,100,3.44
70,Luganville,VU,2022-10-27 21:48:45,-15.5333,167.1667,82.74,74,1,4.38
71,Kavieng,PG,2022-10-27 21:48:45,-2.5744,150.7967,83.14,77,66,9.26
72,Kaduqli,SD,2022-10-27 21:48:46,11.0167,29.7167,76.62,30,24,7.07
73,Khatanga,RU,2022-10-27 21:48:46,71.9667,102.5,3.09,99,98,3.83
74,Torbay,CA,2022-10-27 21:48:47,47.6666,-52.7314,63.37,95,75,10.36
75,Ribeira Grande,PT,2022-10-27 21:48:47,38.5167,-28.7,62.94,67,41,18.95
76,Mahebourg,MU,2022-10-27 21:48:48,-20.4081,57.7,73.69,78,40,10.36
77,Labuhan,ID,2022-10-27 21:48:48,-6.8844,112.2051,74.93,78,61,11.5
78,Cachoeira Do Sul,BR,2022-10-27 21:48:49,-30.0392,-52.8939,65.52,66,0,4.61
79,Manjacaze,MZ,2022-10-27 21:48:50,-24.7117,33.8828,73.78,91,100,6.87
80,New Norfolk,AU,2022-10-27 21:48:50,-42.7826,147.0587,56.7,90,100,4.0
81,Vardo,NO,2022-10-27 21:48:51,70.3705,31.1107,35.58,75,20,12.66
82,Butaritari,KI,2022-10-27 21:48:51,3.0707,172.7902,81.72,74,95,18.88
83,Tiksi,RU,2022-10-27 21:48:52,71.6872,128.8694,2.01,88,80,18.07
84,Pangyan,PH,2022-10-27 21:48:52,5.7008,125.2811,80.31,86,96,16.89
85,Talnakh,RU,2022-10-27 21:48:53,69.4865,88.3972,24.21,94,100,14.27
86,Menongue,AO,2022-10-27 21:48:53,-14.6585,17.691,64.92,84,100,4.36
87,Saint George,US,2022-10-27 21:48:54,37.1041,-113.5841,63.25,20,0,5.75
88,Mattru,SL,2022-10-27 21:48:54,7.6244,-11.8332,74.71,96,100,2.62
89,Grindavik,IS,2022-10-27 21:49:55,63.8424,-22.4338,39.67,93,75,4.61
90,Sutton Coldfield,GB,2022-10-27 21:49:55,52.5667,-1.8167,60.62,93,0,8.05
91,Aykhal,RU,2022-10-27 21:49:55,66.0,111.5,1.85,100,62,5.12
92,Borogontsy,RU,2022-10-27 21:49:56,62.6683,131.1683,16.57,99,99,2.95
93,Chuy,UY,2022-10-27 21:49:56,-33.6971,-53.4616,60.55,73,2,4.59
94,Ancud,CL,2022-10-27 21:49:57,-41.8697,-73.8203,51.51,96,100,26.08
95,Kemijarvi,FI,2022-10-27 21:49:57,66.7131,27.4306,27.36,92,100,3.96
96,Burnie,AU,2022-10-27 21:49:58,-41.0667,145.9167,55.94,89,100,13.6
97,Natitingou,BJ,2022-10-27 21:49:59,10.3042,1.3796,75.51,44,48,4.81
98,Batagay-Alyta,RU,2022-10-27 21:50:00,67.8006,130.4114,5.54,81,99,6.91
99,Abu Samrah,SY,2022-10-27 21:50:00,35.3029,37.1841,67.8,35,0,3.53
100,Galle,LK,2022-10-27 21:50:00,6.0367,80.217,76.12,82,2,4.65
101,Maldonado,UY,2022-10-27 21:50:01,-34.6667,-54.9167,67.39,66,0,5.03
102,Tasiilaq,GL,2022-10-27 21:50:02,65.6145,-37.6368,21.61,69,52,10.04
103,Klaksvik,FO,2022-10-27 21:50:03,62.2266,-6.589,45.52,93,97,3.49
104,San Pedro,PH,2022-10-27 21:50:03,14.35,121.0167,79.83,84,40,8.05
105,Inuvik,CA,2022-10-27 21:50:04,68.3499,-133.7218,9.61,82,75,6.91
106,Mpanda,TZ,2022-10-27 21:50:04,-6.3655,31.0409,72.5,48,44,3.09
107,Gaoua,BF,2022-10-27 21:50:05,10.2992,-3.2508,81.97,39,28,2.82
108,Georgetown,MY,2022-10-27 21:46:09,5.4112,100.3354,77.23,91,40,0.0
109,Iqaluit,CA,2022-10-27 21:50:06,63.7506,-68.5145,22.73,67,100,21.85
110,Bac Lieu,VN,2022-10-27 21:45:28,9.285,105.7244,75.79,94,100,6.64
111,Narsaq,GL,2022-10-27 21:50:06,60.9167,-46.05,26.37,80,76,4.38
112,Roma,US,2022-10-27 21:50:07,43.2128,-75.4557,48.34,65,0,12.66
113,Mount Gambier,AU,2022-10-27 21:50:07,-37.8333,140.7667,51.71,93,75,16.11
114,Victoria,HK,2022-10-27 21:46:49,22.2855,114.1577,75.38,73,15,10.0
115,Ostrovnoy,RU,2022-10-27 21:50:08,68.0531,39.5131,26.44,87,80,3.31
116,Tessalit,ML,2022-10-27 21:50:09,20.1986,1.0114,75.25,16,0,10.71
117,Truro,GB,2022-10-27 21:50:09,50.2653,-5.0544,61.88,94,75,19.57
118,Kaitangata,NZ,2022-10-27 21:50:10,-46.2817,169.8464,51.69,96,100,9.28
119,Fort Nelson,CA,2022-10-27 21:50:10,58.8053,-122.7002,36.99,70,20,3.44
120,Carolina,PR,2022-10-27 21:50:11,18.3808,-65.9574,76.57,92,75,6.91
121,Yakeshi,CN,2022-10-27 21:50:11,49.2833,120.7333,20.8,72,100,2.62
122,Aklavik,CA,2022-10-27 21:50:12,68.2191,-135.0107,8.6,85,75,11.5
123,Kazachinskoye,RU,2022-10-27 21:50:12,57.6953,93.2761,36.0,91,100,3.53
124,Pisco,PE,2022-10-27 21:50:13,-13.7,-76.2167,68.05,68,0,16.11
125,Westport,US,2022-10-27 21:45:34,41.1415,-73.3579,63.73,45,0,14.97
126,Nanortalik,GL,2022-10-27 21:50:14,60.1432,-45.2371,34.38,79,67,4.18
127,Christchurch,NZ,2022-10-27 21:49:54,-43.5333,172.6333,55.9,93,75,16.11
128,The Valley,AI,2022-10-27 21:50:14,18.217,-63.0578,83.1,74,40,12.66
129,Dubbo,AU,2022-10-27 21:50:15,-32.25,148.6167,60.93,77,0,9.22
130,Qasigiannguit,GL,2022-10-27 21:50:15,68.8193,-51.1922,34.21,98,100,7.25
131,Locri,IT,2022-10-27 21:50:16,38.2414,16.2623,68.32,50,27,6.11
132,Velizh,RU,2022-10-27 21:50:16,55.6056,31.1967,46.87,92,92,4.23
133,Fortuna,US,2022-10-27 21:50:17,40.5982,-124.1573,64.92,59,0,9.22
134,Yamada,JP,2022-10-27 21:51:18,39.4667,141.95,51.06,76,75,4.12
135,Rio Grande,BR,2022-10-27 21:50:00,-32.035,-52.0986,80.71,70,0,9.37
136,Port Alfred,ZA,2022-10-27 21:51:18,-33.5906,26.891,65.17,92,83,5.01
137,Mecca,SA,2022-10-27 21:48:57,21.4267,39.8261,80.02,60,100,3.87
138,Dukat,RU,2022-10-27 21:51:19,62.55,155.55,-4.5,90,25,4.79
139,Santa Vitoria Do Palmar,BR,2022-10-27 21:51:20,-33.5189,-53.3681,61.66,73,5,4.88
140,Chokurdakh,RU,2022-10-27 21:51:20,70.6333,147.9167,3.83,95,98,6.87
141,Nakusp,CA,2022-10-27 21:51:21,50.2499,-117.8023,50.34,53,71,9.22
142,Shwebo,MM,2022-10-27 21:51:21,22.5667,95.7,69.44,90,3,5.59
143,Ganzhou,CN,2022-10-27 21:46:58,28.8184,115.4327,61.27,85,100,3.78
144,Necochea,AR,2022-10-27 21:51:22,-38.5473,-58.7368,60.37,60,12,4.63
145,Bredasdorp,ZA,2022-10-27 21:51:23,-34.5322,20.0403,56.23,90,7,1.77
146,Derzhavinsk,KZ,2022-10-27 21:51:23,51.1,66.3167,23.79,84,78,0.78
147,La Ronge,CA,2022-10-27 21:51:24,55.1001,-105.2842,50.25,37,75,10.36
148,Luderitz,NA,2022-10-27 21:51:24,-26.6481,15.1594,60.85,75,1,17.05
149,Manoel Urbano,BR,2022-10-27 21:51:25,-8.8389,-69.2597,86.72,57,87,2.28
150,Bethel,US,2022-10-27 21:50:49,41.3712,-73.414,61.11,46,0,13.8
151,Zaraza,VE,2022-10-27 21:51:26,9.3503,-65.3245,76.19,95,99,5.28
