City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
188,Tianmen,CN,79.3,clear sky,30.6516,113.1603,Tianmen Luyu Hotel
189,Praia Da Vitoria,PT,70.05,broken clouds,38.7333,-27.0667,Hotel Branco I
190,Arona,ES,67.39,clear sky,28.0996,-16.681,Paradise Court
192,Ambilobe,MG,71.55,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
194,Lorengau,PG,83.3,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
196,Sao Joao Da Barra,BR,69.33,moderate rain,-21.6403,-41.0511,Pousada Porto De Canoas
199,San Policarpo,PH,82.83,overcast clouds,12.1791,125.5072,Agapita M. Nicart
201,Marawi,PH,80.22,broken clouds,7.9986,124.2928,Derogongan Residence
203,Galle,LK,77.81,overcast clouds,6.0367,80.217,Amangalla
204,Bosaso,SO,79.99,clear sky,11.2842,49.1816,Red Sea Hotel
208,Kiunga,PG,81.68,broken clouds,-6.1219,141.2906,Airport Lodge Kiunga
210,Port Augusta,AU,85.28,clear sky,-32.5,137.7667,Majestic Oasis Apartments
212,Mareeba,AU,84.92,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
213,Hasaki,JP,70.29,few clouds,35.7333,140.8333,Inubosaki Kanko Hotel
216,Ozu,JP,70.75,clear sky,33.5,132.55,HOTEL FOREST
219,Souillac,MU,73.4,clear sky,-20.5167,57.5167,Shanti Maurice Resort & Spa
220,Bambanglipuro,ID,81.79,overcast clouds,-7.95,110.2833,Puri Brata
221,Portel,BR,73.36,broken clouds,-1.9356,-50.8211,Kitnet do Marcos
222,Bontang,ID,81.77,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
223,Port Moresby,PG,86.72,broken clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
227,Kuala Terengganu,MY,80.56,overcast clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
231,Benguela,AO,72.57,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
233,Panzhihua,CN,67.46,clear sky,26.5851,101.7128,Electric Power Hotel
236,Nicoya,CR,73.02,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
237,Cozumel,MX,80.08,clear sky,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
238,Beira,MZ,72.97,clear sky,-19.8436,34.8389,Beira Terrace Hotel
239,Port Blair,IN,83.8,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
240,Gigmoto,PH,84.67,overcast clouds,13.7796,124.39,Cj's Travellers Inn
245,Touros,BR,77.22,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
248,Shimoda,JP,68.11,clear sky,34.6667,138.95,Shimoda Tokyu Hotel
249,Port-Gentil,GA,76.17,heavy intensity rain,-0.7193,8.7815,Fengshui Residence
250,Caravelas,BR,73.08,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
253,Pathankot,IN,65.46,overcast clouds,32.2833,75.65,Hotel Venice
258,Misratah,LY,66.56,scattered clouds,32.3754,15.0925,Almasa Hotel
262,Sulangan,PH,83.35,broken clouds,11.1373,123.7228,Maia's Beach Resort
263,Long,TH,82.18,scattered clouds,18.0761,99.8326,Nopphakoe Homestay
267,Markala,ML,73.62,few clouds,13.7021,-6.0659,Hôtel Igor
268,Naze,JP,70.41,broken clouds,28.3667,129.4833,Shishime Hotel
269,Magallanes,PH,86.25,overcast clouds,9.02,125.5172,Chloe's Beach
270,Sungaipenuh,ID,67.42,moderate rain,-2.0833,101.3833,Penginapan Citra Alam
274,Yara,CU,71.22,clear sky,20.2753,-76.9533,Casa de Margarita Puebla Lorente
275,Kavaratti,IN,82.8,broken clouds,10.5669,72.642,Green leaf
277,Mattru,SL,72.73,light rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
279,Buala,SB,83.05,light rain,-8.145,159.5921,Maringe Lagoon Lodge
280,Geraldton,AU,73.81,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
281,Kahului,US,79.84,clear sky,20.8947,-156.47,Maui Seaside Hotel
285,Pontianak,ID,85.98,broken clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
287,Wollongong,AU,77.99,scattered clouds,-34.4333,150.8833,Flinders Motel
288,Shiyan,CN,68.23,clear sky,32.6475,110.7781,Fenghuang Garden Holiday Hotel
289,Monte Carmelo,BR,67.41,few clouds,-18.7247,-47.4986,Park hotel
290,Leeton,AU,81.9,overcast clouds,-34.5667,146.4,Hydro Hotel
292,Acarau,BR,77.86,overcast clouds,-2.8856,-40.12,castelo pizzaria
295,Bundibugyo,UG,65.86,overcast clouds,0.7414,30.0417,R.A. Kaliisa Accomodations
296,Domoni,KM,76.12,scattered clouds,-12.2569,44.5319,Al Djadid
297,Gusau,NG,73.36,few clouds,12.1628,6.6614,GUEST INN
301,Santa Cruz,BO,78.26,overcast clouds,-17.8,-63.1667,Aviador Hotel Boutique
302,Socorro,US,71.31,clear sky,31.6546,-106.3033,guarderia imss papalote
303,Muisne,EC,73.2,overcast clouds,0.6,-80.0333,Quinta Samay
306,Lagoa,PT,67.87,overcast clouds,39.05,-27.9833,Casa Das Faias
309,Praia,CV,75.74,broken clouds,14.9215,-23.5087,LT Aparthotel
311,Gemena,CD,69.58,overcast clouds,3.25,19.7667,Hôtel Goshen
312,Kupang,ID,88.38,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
315,Samarai,PG,83.84,few clouds,-10.6167,150.6667,Nuli Sapi
316,Mongu,ZM,68.29,overcast clouds,-15.2484,23.1274,Country Lodge Mongu
321,Hambantota,LK,77.34,light rain,6.1241,81.1185,Bungalow 63
322,Umm Lajj,SA,71.92,clear sky,25.0213,37.2685,Moon light Furnished Units
324,Kandi,BJ,73.9,clear sky,11.1342,2.9386,Hébergement de la Poste
325,Akyab,MM,78.4,scattered clouds,20.15,92.9,ဟိုတယ် မန်မိုရီ
327,Cuamba,MZ,72.39,broken clouds,-14.8031,36.5372,Hotel Vision
331,Tual,ID,83.35,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
333,Kimbe,PG,83.82,moderate rain,-5.5502,150.1429,Kimbe Bay Hotel
334,Viedma,AR,67.28,overcast clouds,-40.8135,-62.9967,Hotel Cristal
336,Totolapan,MX,71.62,light rain,18.5167,-96.1833,El bolso de los ruiz
337,Dehloran,IR,69.37,overcast clouds,32.6941,47.2679,کافه گیم استورم
339,Faanui,PF,79.39,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
345,Puerto Del Rosario,ES,71.35,broken clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
346,Acapulco,MX,80.42,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
353,Bardiyah,LY,65.21,clear sky,31.7561,25.0865,بورتو بردية
357,Kailua,US,80.08,clear sky,21.4022,-157.7394,Sheffield House Bed & Breakfast
362,Atar,MR,76.64,clear sky,20.5169,-13.0499,Oumou Elghoura
363,Vao,NC,73.15,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
365,Dire Dawa,ET,66.67,scattered clouds,9.5931,41.8661,Samrat Hotel
366,San Nicolas,PH,84.9,broken clouds,18.1725,120.5953,NORTHVIEW Hotel
368,Healesville,AU,83.21,overcast clouds,-37.65,145.5167,Tuck Inn Yarra Valley Accommodation Healesville
370,South Daytona,US,73.53,overcast clouds,29.1658,-81.0045,"Holiday Inn Express & Suites Oceanfront Daytona Beach Shores, an IHG Hotel"
371,Pochutla,MX,73.17,light rain,15.7432,-96.4661,Hotel Posada San Jose
372,Mogadishu,SO,78.28,broken clouds,2.0371,45.3438,Hotel Juba
374,Nagayo,JP,68.36,broken clouds,32.8242,129.8861,長与局
377,Kirakira,SB,83.03,overcast clouds,-10.4544,161.9205,SanBiz Lodge
379,Beldanga,IN,78.58,clear sky,23.9333,88.25,Tanmoy's house
380,Ojinaga,MX,76.15,clear sky,29.5667,-104.4167,Suites Las Palmas
381,Sangmelima,CM,67.62,overcast clouds,2.9333,11.9833,gamestar hotel
384,Brownsville,US,75.15,clear sky,25.9018,-97.4975,Best Western Hotel Plaza Matamoros
387,Zachary,US,65.73,clear sky,30.6485,-91.1565,"Holiday Inn Express & Suites Baton Rouge North, an IHG Hotel"
388,San Patricio,US,76.84,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
391,Dabola,GN,67.28,clear sky,10.75,-11.1167,Hotel Tinkisso
392,Palitana,IN,78.06,clear sky,21.5167,71.8333,Punjabi Jain Dharamshala
395,Inhambane,MZ,75.07,light rain,-23.865,35.3833,Oceano
398,Kilindoni,TZ,77.76,light rain,-7.9139,39.6668,Bustani B&B
399,Orizona,BR,70.63,broken clouds,-17.0314,-48.2958,Casa Ribeiro de Almeida
401,Bonanza,NI,70.07,scattered clouds,14.0289,-84.591,Edificio Administrativo HEMCO
402,Semporna,MY,84.94,overcast clouds,4.4818,118.6112,"Han Palace Hotel, Semporna, Sabah."
